"", "case","response","order","id","age","male","edu","action","intention","contact","story","action2"
"1","cfaqu",4,2,"96;434",14,0,"Middle School",0,0,1,"aqu",1
"1373","ikspe",4,28,"96;649",25,1,"Bachelor's Degree",1,1,0,"spe",1
"1374","ilbox",5,10,"96;649",25,1,"Bachelor's Degree",0,1,0,"box",0
"1375","ilche",7,6,"96;649",25,1,"Bachelor's Degree",0,1,0,"che",0
"1376","ilpon",6,11,"96;649",25,1,"Bachelor's Degree",0,1,0,"pon",0
"1377","ilsha",6,21,"96;649",25,1,"Bachelor's Degree",0,1,0,"sha",0
"1378","ilshi",7,26,"96;649",25,1,"Bachelor's Degree",0,1,0,"shi",0
"1379","ilswi",6,24,"96;649",25,1,"Bachelor's Degree",0,1,0,"swi",0
"1380","nfrub",7,7,"96;649",25,1,"Bachelor's Degree",1,0,0,"rub",1
"1381","cfaqu",6,2,"96;650",31,1,"Master's Degree",0,0,1,"aqu",1
"1382","cfbur",6,31,"96;650",31,1,"Master's Degree",0,0,1,"bur",1
"1383","cfrub",6,16,"96;650",31,1,"Master's Degree",0,0,1,"rub",1
"1384","cibox",6,32,"96;650",31,1,"Master's Degree",0,1,1,"box",1
"1385","cibur",6,4,"96;650",31,1,"Master's Degree",0,1,1,"bur",1
"1386","cispe",6,9,"96;650",31,1,"Master's Degree",0,1,1,"spe",1
"1387","fkaqu",6,29,"96;650",31,1,"Master's Degree",1,0,0,"aqu",1
"1388","fkboa",6,12,"96;650",31,1,"Master's Degree",1,0,0,"boa",1
"1389","fkbox",6,23,"96;650",31,1,"Master's Degree",1,0,0,"box",1
"1390","fkbur",6,22,"96;650",31,1,"Master's Degree",1,0,0,"bur",1
"1391","fkcar",6,27,"96;650",31,1,"Master's Degree",1,0,0,"car",1
"1392","fkspe",6,19,"96;650",31,1,"Master's Degree",1,0,0,"spe",1
"1393","fkswi",6,14,"96;650",31,1,"Master's Degree",1,0,0,"swi",1
"1394","flboa",6,3,"96;650",31,1,"Master's Degree",0,0,0,"boa",0
"1395","flcar",6,18,"96;650",31,1,"Master's Degree",0,0,0,"car",0
"1396","flche",6,15,"96;650",31,1,"Master's Degree",0,0,0,"che",0
"1397","flsha",6,30,"96;650",31,1,"Master's Degree",0,0,0,"sha",0
"1398","flswi",6,5,"96;650",31,1,"Master's Degree",0,0,0,"swi",0
"1399","ikbox",6,1,"96;650",31,1,"Master's Degree",1,1,0,"box",1
"1400","ikbur",6,13,"96;650",31,1,"Master's Degree",1,1,0,"bur",1
"1401","ikpon",6,20,"96;650",31,1,"Master's Degree",1,1,0,"pon",1
"1402","ikshi",6,17,"96;650",31,1,"Master's Degree",1,1,0,"shi",1
"1403","ikspe",6,28,"96;650",31,1,"Master's Degree",1,1,0,"spe",1
"1404","ilbox",6,10,"96;650",31,1,"Master's Degree",0,1,0,"box",0
"1405","ilche",6,6,"96;650",31,1,"Master's Degree",0,1,0,"che",0
"1406","ilpon",6,11,"96;650",31,1,"Master's Degree",0,1,0,"pon",0
"1407","ilsha",6,21,"96;650",31,1,"Master's Degree",0,1,0,"sha",0
"1408","ilshi",6,26,"96;650",31,1,"Master's Degree",0,1,0,"shi",0
"1409","ilswi",6,24,"96;650",31,1,"Master's Degree",0,1,0,"swi",0
"1410","nfrub",6,7,"96;650",31,1,"Master's Degree",1,0,0,"rub",1
"1411","cfaqu",6,20,"96;654",27,1,"Some College",0,0,1,"aqu",1
"1412","cfbur",7,32,"96;654",27,1,"Some College",0,0,1,"bur",1
"1413","cfrub",6,7,"96;654",27,1,"Some College",0,0,1,"rub",1
"1414","cibox",5,12,"96;654",27,1,"Some College",0,1,1,"box",1
"1415","cibur",6,23,"96;654",27,1,"Some College",0,1,1,"bur",1
"1416","cispe",6,27,"96;654",27,1,"Some College",0,1,1,"spe",1
"1417","fkaqu",6,29,"96;654",27,1,"Some College",1,0,0,"aqu",1
"1418","fkboa",6,11,"96;654",27,1,"Some College",1,0,0,"boa",1
"1419","fkbox",7,22,"96;654",27,1,"Some College",1,0,0,"box",1
"1420","fkbur",6,14,"96;654",27,1,"Some College",1,0,0,"bur",1
"1421","fkcar",7,30,"96;654",27,1,"Some College",1,0,0,"car",1
"1422","fkspe",6,9,"96;654",27,1,"Some College",1,0,0,"spe",1
"1423","fkswi",7,25,"96;654",27,1,"Some College",1,0,0,"swi",1
"1424","flboa",7,2,"96;654",27,1,"Some College",0,0,0,"boa",0
"1425","flcar",7,21,"96;654",27,1,"Some College",0,0,0,"car",0
"1426","flche",7,4,"96;654",27,1,"Some College",0,0,0,"che",0
"1427","flsha",6,28,"96;654",27,1,"Some College",0,0,0,"sha",0
"1428","flswi",6,6,"96;654",27,1,"Some College",0,0,0,"swi",0
"1429","ikbox",6,3,"96;654",27,1,"Some College",1,1,0,"box",1
"1430","ikbur",5,5,"96;654",27,1,"Some College",1,1,0,"bur",1
"1431","ikpon",5,1,"96;654",27,1,"Some College",1,1,0,"pon",1
"1432","ikshi",4,17,"96;654",27,1,"Some College",1,1,0,"shi",1
"1433","ikspe",6,19,"96;654",27,1,"Some College",1,1,0,"spe",1
"1434","ilbox",7,31,"96;654",27,1,"Some College",0,1,0,"box",0
"1435","ilche",6,13,"96;654",27,1,"Some College",0,1,0,"che",0
"1436","ilpon",5,10,"96;654",27,1,"Some College",0,1,0,"pon",0
"1437","ilsha",6,18,"96;654",27,1,"Some College",0,1,0,"sha",0
"1438","ilshi",7,26,"96;654",27,1,"Some College",0,1,0,"shi",0
"1439","ilswi",6,15,"96;654",27,1,"Some College",0,1,0,"swi",0
"1440","nfrub",6,16,"96;654",27,1,"Some College",1,0,0,"rub",1
"1441","cfaqu",3,20,"96;655",45,0,"Some College",0,0,1,"aqu",1
"1442","cfbur",3,32,"96;655",45,0,"Some College",0,0,1,"bur",1
"1443","cfrub",3,7,"96;655",45,0,"Some College",0,0,1,"rub",1
"1444","cibox",1,12,"96;655",45,0,"Some College",0,1,1,"box",1
"1445","cibur",2,23,"96;655",45,0,"Some College",0,1,1,"bur",1
"1446","cispe",1,27,"96;655",45,0,"Some College",0,1,1,"spe",1
"1447","fkaqu",3,29,"96;655",45,0,"Some College",1,0,0,"aqu",1
"1448","fkboa",3,11,"96;655",45,0,"Some College",1,0,0,"boa",1
"1449","fkbox",2,22,"96;655",45,0,"Some College",1,0,0,"box",1
"1450","fkbur",3,14,"96;655",45,0,"Some College",1,0,0,"bur",1
"1451","fkcar",2,30,"96;655",45,0,"Some College",1,0,0,"car",1
"1452","fkspe",3,9,"96;655",45,0,"Some College",1,0,0,"spe",1
"1453","fkswi",3,25,"96;655",45,0,"Some College",1,0,0,"swi",1
"1454","flboa",4,2,"96;655",45,0,"Some College",0,0,0,"boa",0
"1455","flcar",3,21,"96;655",45,0,"Some College",0,0,0,"car",0
"1456","flche",3,4,"96;655",45,0,"Some College",0,0,0,"che",0
"1457","flsha",2,28,"96;655",45,0,"Some College",0,0,0,"sha",0
"1458","flswi",2,6,"96;655",45,0,"Some College",0,0,0,"swi",0
"1459","ikbox",3,3,"96;655",45,0,"Some College",1,1,0,"box",1
"1460","ikbur",3,5,"96;655",45,0,"Some College",1,1,0,"bur",1
"1461","ikpon",2,1,"96;655",45,0,"Some College",1,1,0,"pon",1
"1462","ikshi",2,17,"96;655",45,0,"Some College",1,1,0,"shi",1
"1463","ikspe",2,19,"96;655",45,0,"Some College",1,1,0,"spe",1
"1464","ilbox",3,31,"96;655",45,0,"Some College",0,1,0,"box",0
"1465","ilche",3,13,"96;655",45,0,"Some College",0,1,0,"che",0
"1466","ilpon",3,10,"96;655",45,0,"Some College",0,1,0,"pon",0
"1467","ilsha",2,18,"96;655",45,0,"Some College",0,1,0,"sha",0
"1468","ilshi",3,26,"96;655",45,0,"Some College",0,1,0,"shi",0
"1469","ilswi",2,15,"96;655",45,0,"Some College",0,1,0,"swi",0
"1470","nfrub",2,16,"96;655",45,0,"Some College",1,0,0,"rub",1
"1471","cfaqu",6,20,"96;658",19,0,"Bachelor's Degree",0,0,1,"aqu",1
"1472","cfbur",6,32,"96;658",19,0,"Bachelor's Degree",0,0,1,"bur",1
"1473","cfrub",4,7,"96;658",19,0,"Bachelor's Degree",0,0,1,"rub",1
"1474","cibox",3,12,"96;658",19,0,"Bachelor's Degree",0,1,1,"box",1
"1475","cibur",6,23,"96;658",19,0,"Bachelor's Degree",0,1,1,"bur",1
"1476","cispe",5,27,"96;658",19,0,"Bachelor's Degree",0,1,1,"spe",1
"1477","fkaqu",5,29,"96;658",19,0,"Bachelor's Degree",1,0,0,"aqu",1
"1478","fkboa",5,11,"96;658",19,0,"Bachelor's Degree",1,0,0,"boa",1
"1479","fkbox",6,22,"96;658",19,0,"Bachelor's Degree",1,0,0,"box",1
"1480","fkbur",5,14,"96;658",19,0,"Bachelor's Degree",1,0,0,"bur",1
"1481","fkcar",5,30,"96;658",19,0,"Bachelor's Degree",1,0,0,"car",1
"1482","fkspe",6,9,"96;658",19,0,"Bachelor's Degree",1,0,0,"spe",1
"1483","fkswi",6,25,"96;658",19,0,"Bachelor's Degree",1,0,0,"swi",1
"1484","flboa",7,2,"96;658",19,0,"Bachelor's Degree",0,0,0,"boa",0
"1485","flcar",6,21,"96;658",19,0,"Bachelor's Degree",0,0,0,"car",0
"1486","flche",7,4,"96;658",19,0,"Bachelor's Degree",0,0,0,"che",0
"1487","flsha",5,28,"96;658",19,0,"Bachelor's Degree",0,0,0,"sha",0
"1488","flswi",4,6,"96;658",19,0,"Bachelor's Degree",0,0,0,"swi",0
"1489","ikbox",4,3,"96;658",19,0,"Bachelor's Degree",1,1,0,"box",1
"1490","ikbur",3,5,"96;658",19,0,"Bachelor's Degree",1,1,0,"bur",1
"1491","ikpon",6,1,"96;658",19,0,"Bachelor's Degree",1,1,0,"pon",1
"1492","ikshi",5,17,"96;658",19,0,"Bachelor's Degree",1,1,0,"shi",1
"1493","ikspe",6,19,"96;658",19,0,"Bachelor's Degree",1,1,0,"spe",1
"1494","ilbox",6,31,"96;658",19,0,"Bachelor's Degree",0,1,0,"box",0
"1495","ilche",5,13,"96;658",19,0,"Bachelor's Degree",0,1,0,"che",0
"1496","ilpon",4,10,"96;658",19,0,"Bachelor's Degree",0,1,0,"pon",0
"1497","ilsha",5,18,"96;658",19,0,"Bachelor's Degree",0,1,0,"sha",0
"1498","ilshi",6,26,"96;658",19,0,"Bachelor's Degree",0,1,0,"shi",0
"1499","ilswi",5,15,"96;658",19,0,"Bachelor's Degree",0,1,0,"swi",0
"1500","nfrub",6,16,"96;658",19,0,"Bachelor's Degree",1,0,0,"rub",1
"1501","cfaqu",1,2,"96;662",20,1,"Some College",0,0,1,"aqu",1
"1502","cfbur",2,31,"96;662",20,1,"Some College",0,0,1,"bur",1
"1503","cfrub",5,16,"96;662",20,1,"Some College",0,0,1,"rub",1
"1504","cibox",3,32,"96;662",20,1,"Some College",0,1,1,"box",1
"1505","cibur",2,4,"96;662",20,1,"Some College",0,1,1,"bur",1
"1506","cispe",6,9,"96;662",20,1,"Some College",0,1,1,"spe",1
"1507","fkaqu",6,29,"96;662",20,1,"Some College",1,0,0,"aqu",1
"1508","fkboa",4,12,"96;662",20,1,"Some College",1,0,0,"boa",1
"1509","fkbox",3,23,"96;662",20,1,"Some College",1,0,0,"box",1
"1510","fkbur",6,22,"96;662",20,1,"Some College",1,0,0,"bur",1
"1511","fkcar",4,27,"96;662",20,1,"Some College",1,0,0,"car",1
"1512","fkspe",4,19,"96;662",20,1,"Some College",1,0,0,"spe",1
"1513","fkswi",3,14,"96;662",20,1,"Some College",1,0,0,"swi",1
"1514","flboa",2,3,"96;662",20,1,"Some College",0,0,0,"boa",0
"1515","flcar",7,18,"96;662",20,1,"Some College",0,0,0,"car",0
"1516","flche",7,15,"96;662",20,1,"Some College",0,0,0,"che",0
"1517","flsha",4,30,"96;662",20,1,"Some College",0,0,0,"sha",0
"1518","flswi",2,5,"96;662",20,1,"Some College",0,0,0,"swi",0
"1519","ikbox",1,1,"96;662",20,1,"Some College",1,1,0,"box",1
"1520","ikbur",5,13,"96;662",20,1,"Some College",1,1,0,"bur",1
"1521","ikpon",1,20,"96;662",20,1,"Some College",1,1,0,"pon",1
"1522","ikshi",7,17,"96;662",20,1,"Some College",1,1,0,"shi",1
"1523","ikspe",2,28,"96;662",20,1,"Some College",1,1,0,"spe",1
"1524","ilbox",4,10,"96;662",20,1,"Some College",0,1,0,"box",0
"1525","ilche",4,6,"96;662",20,1,"Some College",0,1,0,"che",0
"1526","ilpon",7,11,"96;662",20,1,"Some College",0,1,0,"pon",0
"1527","ilsha",4,21,"96;662",20,1,"Some College",0,1,0,"sha",0
"1528","ilshi",3,26,"96;662",20,1,"Some College",0,1,0,"shi",0
"1529","ilswi",7,24,"96;662",20,1,"Some College",0,1,0,"swi",0
"1530","nfrub",4,7,"96;662",20,1,"Some College",1,0,0,"rub",1
"1531","cfaqu",5,2,"96;667",24,0,"Bachelor's Degree",0,0,1,"aqu",1
"1532","cfbur",5,31,"96;667",24,0,"Bachelor's Degree",0,0,1,"bur",1
"1533","cfrub",5,16,"96;667",24,0,"Bachelor's Degree",0,0,1,"rub",1
"1534","cibox",3,32,"96;667",24,0,"Bachelor's Degree",0,1,1,"box",1
"1535","cibur",6,4,"96;667",24,0,"Bachelor's Degree",0,1,1,"bur",1
"1536","cispe",5,9,"96;667",24,0,"Bachelor's Degree",0,1,1,"spe",1
"1537","fkaqu",5,29,"96;667",24,0,"Bachelor's Degree",1,0,0,"aqu",1
"1538","fkboa",4,12,"96;667",24,0,"Bachelor's Degree",1,0,0,"boa",1
"1539","fkbox",5,23,"96;667",24,0,"Bachelor's Degree",1,0,0,"box",1
"1540","fkbur",5,22,"96;667",24,0,"Bachelor's Degree",1,0,0,"bur",1
"1541","fkcar",4,27,"96;667",24,0,"Bachelor's Degree",1,0,0,"car",1
"1542","fkspe",6,19,"96;667",24,0,"Bachelor's Degree",1,0,0,"spe",1
"1543","fkswi",6,14,"96;667",24,0,"Bachelor's Degree",1,0,0,"swi",1
"1544","flboa",5,3,"96;667",24,0,"Bachelor's Degree",0,0,0,"boa",0
"1545","flcar",5,18,"96;667",24,0,"Bachelor's Degree",0,0,0,"car",0
"1546","flche",5,15,"96;667",24,0,"Bachelor's Degree",0,0,0,"che",0
"1547","flsha",5,30,"96;667",24,0,"Bachelor's Degree",0,0,0,"sha",0
"1548","flswi",5,5,"96;667",24,0,"Bachelor's Degree",0,0,0,"swi",0
"1549","ikbox",5,1,"96;667",24,0,"Bachelor's Degree",1,1,0,"box",1
"1550","ikbur",4,13,"96;667",24,0,"Bachelor's Degree",1,1,0,"bur",1
"1551","ikpon",3,20,"96;667",24,0,"Bachelor's Degree",1,1,0,"pon",1
"1552","ikshi",4,17,"96;667",24,0,"Bachelor's Degree",1,1,0,"shi",1
"1553","ikspe",4,28,"96;667",24,0,"Bachelor's Degree",1,1,0,"spe",1
"1554","ilbox",6,10,"96;667",24,0,"Bachelor's Degree",0,1,0,"box",0
"1555","ilche",5,6,"96;667",24,0,"Bachelor's Degree",0,1,0,"che",0
"1556","ilpon",6,11,"96;667",24,0,"Bachelor's Degree",0,1,0,"pon",0
"1557","ilsha",5,21,"96;667",24,0,"Bachelor's Degree",0,1,0,"sha",0
"1558","ilshi",5,26,"96;667",24,0,"Bachelor's Degree",0,1,0,"shi",0
"1559","ilswi",5,24,"96;667",24,0,"Bachelor's Degree",0,1,0,"swi",0
"1560","nfrub",5,7,"96;667",24,0,"Bachelor's Degree",1,0,0,"rub",1
"1561","cfaqu",1,20,"96;671",29,1,"Graduate Degree",0,0,1,"aqu",1
"1562","cfbur",1,32,"96;671",29,1,"Graduate Degree",0,0,1,"bur",1
"1563","cfrub",1,7,"96;671",29,1,"Graduate Degree",0,0,1,"rub",1
"1564","cibox",1,12,"96;671",29,1,"Graduate Degree",0,1,1,"box",1
"1565","cibur",1,23,"96;671",29,1,"Graduate Degree",0,1,1,"bur",1
"1566","cispe",1,27,"96;671",29,1,"Graduate Degree",0,1,1,"spe",1
"1567","fkaqu",1,29,"96;671",29,1,"Graduate Degree",1,0,0,"aqu",1
"1568","fkboa",1,11,"96;671",29,1,"Graduate Degree",1,0,0,"boa",1
"1569","fkbox",1,22,"96;671",29,1,"Graduate Degree",1,0,0,"box",1
"1570","fkbur",1,14,"96;671",29,1,"Graduate Degree",1,0,0,"bur",1
"1571","fkcar",1,30,"96;671",29,1,"Graduate Degree",1,0,0,"car",1
"1572","fkspe",1,9,"96;671",29,1,"Graduate Degree",1,0,0,"spe",1
"1573","fkswi",1,25,"96;671",29,1,"Graduate Degree",1,0,0,"swi",1
"1574","flboa",7,2,"96;671",29,1,"Graduate Degree",0,0,0,"boa",0
"1575","flcar",7,21,"96;671",29,1,"Graduate Degree",0,0,0,"car",0
"1576","flche",7,4,"96;671",29,1,"Graduate Degree",0,0,0,"che",0
"1577","flsha",4,28,"96;671",29,1,"Graduate Degree",0,0,0,"sha",0
"1578","flswi",7,6,"96;671",29,1,"Graduate Degree",0,0,0,"swi",0
"1579","ikbox",1,3,"96;671",29,1,"Graduate Degree",1,1,0,"box",1
"1580","ikbur",1,5,"96;671",29,1,"Graduate Degree",1,1,0,"bur",1
"1581","ikpon",1,1,"96;671",29,1,"Graduate Degree",1,1,0,"pon",1
"1582","ikshi",1,17,"96;671",29,1,"Graduate Degree",1,1,0,"shi",1
"1583","ikspe",1,19,"96;671",29,1,"Graduate Degree",1,1,0,"spe",1
"1584","ilbox",7,31,"96;671",29,1,"Graduate Degree",0,1,0,"box",0
"1585","ilche",7,13,"96;671",29,1,"Graduate Degree",0,1,0,"che",0
"1586","ilpon",4,10,"96;671",29,1,"Graduate Degree",0,1,0,"pon",0
"1587","ilsha",7,18,"96;671",29,1,"Graduate Degree",0,1,0,"sha",0
"1588","ilshi",7,26,"96;671",29,1,"Graduate Degree",0,1,0,"shi",0
"1589","ilswi",3,15,"96;671",29,1,"Graduate Degree",0,1,0,"swi",0
"1590","nfrub",1,16,"96;671",29,1,"Graduate Degree",1,0,0,"rub",1
"1591","cfaqu",4,13,"96;672",54,0,"Bachelor's Degree",0,0,1,"aqu",1
"1592","cfbur",5,1,"96;672",54,0,"Bachelor's Degree",0,0,1,"bur",1
"1593","cfrub",4,26,"96;672",54,0,"Bachelor's Degree",0,0,1,"rub",1
"1594","cibox",5,21,"96;672",54,0,"Bachelor's Degree",0,1,1,"box",1
"1595","cibur",5,10,"96;672",54,0,"Bachelor's Degree",0,1,1,"bur",1
"1596","cispe",1,6,"96;672",54,0,"Bachelor's Degree",0,1,1,"spe",1
"1597","fkaqu",7,4,"96;672",54,0,"Bachelor's Degree",1,0,0,"aqu",1
"1598","fkboa",4,22,"96;672",54,0,"Bachelor's Degree",1,0,0,"boa",1
"1599","fkbox",4,11,"96;672",54,0,"Bachelor's Degree",1,0,0,"box",1
"1600","fkbur",4,19,"96;672",54,0,"Bachelor's Degree",1,0,0,"bur",1
"1601","fkcar",4,3,"96;672",54,0,"Bachelor's Degree",1,0,0,"car",1
"1602","fkspe",4,24,"96;672",54,0,"Bachelor's Degree",1,0,0,"spe",1
"1603","fkswi",4,8,"96;672",54,0,"Bachelor's Degree",1,0,0,"swi",1
"1604","flboa",4,31,"96;672",54,0,"Bachelor's Degree",0,0,0,"boa",0
"1605","flcar",4,12,"96;672",54,0,"Bachelor's Degree",0,0,0,"car",0
"1606","flche",4,29,"96;672",54,0,"Bachelor's Degree",0,0,0,"che",0
"1607","flsha",5,5,"96;672",54,0,"Bachelor's Degree",0,0,0,"sha",0
"1608","flswi",2,27,"96;672",54,0,"Bachelor's Degree",0,0,0,"swi",0
"1609","ikbox",4,30,"96;672",54,0,"Bachelor's Degree",1,1,0,"box",1
"1610","ikbur",4,28,"96;672",54,0,"Bachelor's Degree",1,1,0,"bur",1
"1611","ikpon",1,32,"96;672",54,0,"Bachelor's Degree",1,1,0,"pon",1
"1612","ikshi",7,16,"96;672",54,0,"Bachelor's Degree",1,1,0,"shi",1
"1613","ikspe",4,14,"96;672",54,0,"Bachelor's Degree",1,1,0,"spe",1
"1614","ilbox",5,2,"96;672",54,0,"Bachelor's Degree",0,1,0,"box",0
"1615","ilche",1,20,"96;672",54,0,"Bachelor's Degree",0,1,0,"che",0
"1616","ilpon",1,23,"96;672",54,0,"Bachelor's Degree",0,1,0,"pon",0
"1617","ilsha",6,15,"96;672",54,0,"Bachelor's Degree",0,1,0,"sha",0
"1618","ilshi",4,7,"96;672",54,0,"Bachelor's Degree",0,1,0,"shi",0
"1619","ilswi",2,18,"96;672",54,0,"Bachelor's Degree",0,1,0,"swi",0
"1620","nfrub",4,17,"96;672",54,0,"Bachelor's Degree",1,0,0,"rub",1
"1621","cfaqu",6,13,"96;683",59,0,"Some College",0,0,1,"aqu",1
"1622","cfbur",6,1,"96;683",59,0,"Some College",0,0,1,"bur",1
"1623","cfrub",6,26,"96;683",59,0,"Some College",0,0,1,"rub",1
"1624","cibox",6,21,"96;683",59,0,"Some College",0,1,1,"box",1
"1625","cibur",6,10,"96;683",59,0,"Some College",0,1,1,"bur",1
"1626","cispe",6,6,"96;683",59,0,"Some College",0,1,1,"spe",1
"1627","fkaqu",6,4,"96;683",59,0,"Some College",1,0,0,"aqu",1
"1628","fkboa",6,22,"96;683",59,0,"Some College",1,0,0,"boa",1
"1629","fkbox",6,11,"96;683",59,0,"Some College",1,0,0,"box",1
"1630","fkbur",6,19,"96;683",59,0,"Some College",1,0,0,"bur",1
"1631","fkcar",6,3,"96;683",59,0,"Some College",1,0,0,"car",1
"1632","fkspe",6,24,"96;683",59,0,"Some College",1,0,0,"spe",1
"1633","fkswi",6,8,"96;683",59,0,"Some College",1,0,0,"swi",1
"1634","flboa",6,31,"96;683",59,0,"Some College",0,0,0,"boa",0
"1635","flcar",6,12,"96;683",59,0,"Some College",0,0,0,"car",0
"1636","flche",6,29,"96;683",59,0,"Some College",0,0,0,"che",0
"1637","flsha",6,5,"96;683",59,0,"Some College",0,0,0,"sha",0
"1638","flswi",6,27,"96;683",59,0,"Some College",0,0,0,"swi",0
"1639","ikbox",6,30,"96;683",59,0,"Some College",1,1,0,"box",1
"1640","ikbur",6,28,"96;683",59,0,"Some College",1,1,0,"bur",1
"1641","ikpon",5,32,"96;683",59,0,"Some College",1,1,0,"pon",1
"1642","ikshi",6,16,"96;683",59,0,"Some College",1,1,0,"shi",1
"1643","ikspe",6,14,"96;683",59,0,"Some College",1,1,0,"spe",1
"1644","ilbox",6,2,"96;683",59,0,"Some College",0,1,0,"box",0
"1645","ilche",6,20,"96;683",59,0,"Some College",0,1,0,"che",0
"1646","ilpon",6,23,"96;683",59,0,"Some College",0,1,0,"pon",0
"1647","ilsha",6,15,"96;683",59,0,"Some College",0,1,0,"sha",0
"1648","ilshi",6,7,"96;683",59,0,"Some College",0,1,0,"shi",0
"1649","ilswi",6,18,"96;683",59,0,"Some College",0,1,0,"swi",0
"1650","nfrub",6,17,"96;683",59,0,"Some College",1,0,0,"rub",1
"1651","cfaqu",7,13,"96;684",39,1,"High School Graduate",0,0,1,"aqu",1
"1652","cfbur",6,1,"96;684",39,1,"High School Graduate",0,0,1,"bur",1
"1653","cfrub",7,26,"96;684",39,1,"High School Graduate",0,0,1,"rub",1
"1654","cibox",7,21,"96;684",39,1,"High School Graduate",0,1,1,"box",1
"1655","cibur",7,10,"96;684",39,1,"High School Graduate",0,1,1,"bur",1
"1656","cispe",4,6,"96;684",39,1,"High School Graduate",0,1,1,"spe",1
"1657","fkaqu",4,4,"96;684",39,1,"High School Graduate",1,0,0,"aqu",1
"1658","fkboa",7,22,"96;684",39,1,"High School Graduate",1,0,0,"boa",1
"1659","fkbox",7,11,"96;684",39,1,"High School Graduate",1,0,0,"box",1
"1660","fkbur",7,19,"96;684",39,1,"High School Graduate",1,0,0,"bur",1
"1661","fkcar",7,3,"96;684",39,1,"High School Graduate",1,0,0,"car",1
"1662","fkspe",7,24,"96;684",39,1,"High School Graduate",1,0,0,"spe",1
"1663","fkswi",6,8,"96;684",39,1,"High School Graduate",1,0,0,"swi",1
"1664","flboa",7,31,"96;684",39,1,"High School Graduate",0,0,0,"boa",0
"1665","flcar",7,12,"96;684",39,1,"High School Graduate",0,0,0,"car",0
"1666","flche",7,29,"96;684",39,1,"High School Graduate",0,0,0,"che",0
"1667","flsha",4,5,"96;684",39,1,"High School Graduate",0,0,0,"sha",0
"1668","flswi",7,27,"96;684",39,1,"High School Graduate",0,0,0,"swi",0
"1669","ikbox",7,30,"96;684",39,1,"High School Graduate",1,1,0,"box",1
"1670","ikbur",7,28,"96;684",39,1,"High School Graduate",1,1,0,"bur",1
"1671","ikpon",7,32,"96;684",39,1,"High School Graduate",1,1,0,"pon",1
"1672","ikshi",7,16,"96;684",39,1,"High School Graduate",1,1,0,"shi",1
"1673","ikspe",6,14,"96;684",39,1,"High School Graduate",1,1,0,"spe",1
"1674","ilbox",7,2,"96;684",39,1,"High School Graduate",0,1,0,"box",0
"1675","ilche",6,20,"96;684",39,1,"High School Graduate",0,1,0,"che",0
"1676","ilpon",7,23,"96;684",39,1,"High School Graduate",0,1,0,"pon",0
"1677","ilsha",7,15,"96;684",39,1,"High School Graduate",0,1,0,"sha",0
"1678","ilshi",7,7,"96;684",39,1,"High School Graduate",0,1,0,"shi",0
"1679","ilswi",7,18,"96;684",39,1,"High School Graduate",0,1,0,"swi",0
"1680","nfrub",7,17,"96;684",39,1,"High School Graduate",1,0,0,"rub",1
"1681","cfaqu",4,13,"96;692",28,0,"Some College",0,0,1,"aqu",1
"1682","cfbur",4,1,"96;692",28,0,"Some College",0,0,1,"bur",1
"1683","cfrub",7,26,"96;692",28,0,"Some College",0,0,1,"rub",1
"1684","cibox",1,21,"96;692",28,0,"Some College",0,1,1,"box",1
"1685","cibur",1,10,"96;692",28,0,"Some College",0,1,1,"bur",1
"1686","cispe",1,6,"96;692",28,0,"Some College",0,1,1,"spe",1
"1687","fkaqu",7,4,"96;692",28,0,"Some College",1,0,0,"aqu",1
"1688","fkboa",5,22,"96;692",28,0,"Some College",1,0,0,"boa",1
"1689","fkbox",4,11,"96;692",28,0,"Some College",1,0,0,"box",1
"1690","fkbur",6,19,"96;692",28,0,"Some College",1,0,0,"bur",1
"1691","fkcar",4,3,"96;692",28,0,"Some College",1,0,0,"car",1
"1692","fkspe",4,24,"96;692",28,0,"Some College",1,0,0,"spe",1
"1693","fkswi",4,8,"96;692",28,0,"Some College",1,0,0,"swi",1
"1694","flboa",4,31,"96;692",28,0,"Some College",0,0,0,"boa",0
"1695","flcar",4,12,"96;692",28,0,"Some College",0,0,0,"car",0
"1696","flche",6,29,"96;692",28,0,"Some College",0,0,0,"che",0
"1697","flsha",7,5,"96;692",28,0,"Some College",0,0,0,"sha",0
"1698","flswi",5,27,"96;692",28,0,"Some College",0,0,0,"swi",0
"1699","ikbox",2,30,"96;692",28,0,"Some College",1,1,0,"box",1
"1700","ikbur",4,28,"96;692",28,0,"Some College",1,1,0,"bur",1
"1701","ikpon",1,32,"96;692",28,0,"Some College",1,1,0,"pon",1
"1702","ikshi",7,16,"96;692",28,0,"Some College",1,1,0,"shi",1
"1703","ikspe",1,14,"96;692",28,0,"Some College",1,1,0,"spe",1
"1704","ilbox",4,2,"96;692",28,0,"Some College",0,1,0,"box",0
"1705","ilche",4,20,"96;692",28,0,"Some College",0,1,0,"che",0
"1706","ilpon",6,23,"96;692",28,0,"Some College",0,1,0,"pon",0
"1707","ilsha",4,15,"96;692",28,0,"Some College",0,1,0,"sha",0
"1708","ilshi",7,7,"96;692",28,0,"Some College",0,1,0,"shi",0
"1709","ilswi",2,18,"96;692",28,0,"Some College",0,1,0,"swi",0
"1710","nfrub",7,17,"96;692",28,0,"Some College",1,0,0,"rub",1
